# Project dataset for the Privacy-Aware Stats Dashboard (U3 L14/L17/L21). 120 members. Contains First_Name/Last_Name/City/Zip_Code/Signup_Date: run the L12 anonymization pass BEFORE you publish anything.
Member_ID,First_Name,Last_Name,Age,City,Zip_Code,Monthly_Visits,Spend_USD,Membership_Tier,Signup_Date
M2033,Logan,Duarte,48,Kaohsiung,80011,1,172.29,Enterprise,2026-09-12
M2034,Marley,Okafor,56,Hsinchu,30073,9,466.69,Premium,2026-08-02
M2035,Nico,Farah,39,Taoyuan,32079,3,88.1,Standard,2026-03-06
M2036,Parker,Quintero,35,Taichung,40298,1,9.46,Basic,2026-01-11
M2037,Reese,Haddad,60,Taichung,40405,1,171.43,Enterprise,2025-11-16
M2038,Sage,Singh,32,Tainan,70070,1,65.52,Premium,2026-04-14
M2039,Tatum,Jensen,53,Kaohsiung,80067,1,30.83,Standard,2025-10-09
M2040,Avery,Alvarez,39,Hsinchu,30079,4,60.26,Basic,2025-10-08
M2041,Jordan,Lindqvist,65,Taoyuan,32074,2,210.39,Enterprise,2026-06-08
M2042,Riley,Chen,64,Taichung,40264,9,773.5,Premium,2026-01-04
M2043,Casey,Nakamura,35,Taichung,40458,4,0.0,Standard,2026-04-17
M2044,Morgan,Espinoza,57,Tainan,70091,2,21.36,Basic,2026-04-29
M2045,Quinn,Park,56,Kaohsiung,80083,9,1065.36,Enterprise,2026-06-25
M2046,Hayden,Gomez,44,Hsinchu,30029,1,50.47,Premium,2026-03-05
M2047,Skyler,Rossi,59,Taoyuan,32083,4,114.46,Standard,2025-10-07
M2048,Rowan,Ibrahim,32,Taichung,40291,9,136.22,Basic,2025-09-30
M2049,Emerson,Tran,22,Taichung,40453,2,288.94,Enterprise,2026-08-11
M2050,Finley,Kowalski,60,Tainan,70047,6,377.0,Premium,2025-12-26
M2051,Harper,Brennan,31,Kaohsiung,80078,2,49.59,Standard,2026-01-04
M2052,Kendall,Moreau,23,Hsinchu,30020,4,39.78,Basic,2025-09-04
M2053,Logan,Duarte,35,Taoyuan,32078,1,123.45,Enterprise,2026-05-02
M2054,Marley,Okafor,53,Taichung,40216,2,130.14,Premium,2026-08-19
M2055,Nico,Farah,56,Taichung,40450,9,289.81,Standard,2026-09-13
M2056,Parker,Quintero,59,Tainan,70045,1,14.32,Basic,2025-09-07
M2057,Reese,Haddad,58,Kaohsiung,80047,2,327.01,Enterprise,2026-01-16
M2058,Sage,Singh,31,Hsinchu,30046,2,90.78,Premium,2026-05-30
M2059,Tatum,Jensen,24,Taoyuan,32078,1,21.94,Standard,2026-01-23
M2060,Avery,Alvarez,47,Taichung,40239,3,41.57,Basic,2025-10-18
M2061,Jordan,Lindqvist,44,Taichung,40422,1,142.84,Enterprise,2026-01-17
M2062,Riley,Chen,66,Tainan,70094,1,82.09,Premium,2025-11-05
M2063,Casey,Nakamura,53,Kaohsiung,80028,2,42.74,Standard,2026-09-04
M2064,Morgan,Espinoza,27,Hsinchu,30063,2,27.23,Basic,2026-07-19
M2065,Quinn,Park,27,Taoyuan,32047,6,923.58,Enterprise,2025-11-22
M2066,Hayden,Gomez,42,Taichung,40294,3,211.64,Premium,2026-05-07
M2067,Skyler,Rossi,44,Taichung,40463,6,139.73,Standard,2025-09-17
M2068,Rowan,Ibrahim,45,Tainan,70021,2,17.96,Basic,2026-07-24
M2069,Emerson,Tran,37,Kaohsiung,80050,1,132.18,Enterprise,2026-02-18
M2070,Finley,Kowalski,46,Hsinchu,30016,1,85.02,Premium,2025-10-09
M2071,Harper,Brennan,57,Taoyuan,32049,2,57.69,Standard,2025-10-17
M2072,Kendall,Moreau,33,Taichung,40252,2,30.34,Basic,2025-09-25
M2073,Logan,Duarte,33,Taichung,40455,1,166.51,Enterprise,2026-02-08
M2074,Marley,Okafor,58,Tainan,70061,9,4750.0,Premium,2025-09-20
M2075,Nico,Farah,38,Kaohsiung,80007,2,43.5,Standard,2026-05-31
M2076,Parker,Quintero,20,Hsinchu,30093,2,18.36,Basic,2026-02-08
M2077,Reese,Haddad,22,Taoyuan,32023,2,245.11,Enterprise,2026-01-08
M2078,Sage,Singh,28,Taichung,40225,2,168.52,Premium,2026-09-14
M2079,Tatum,Jensen,53,Taichung,40417,6,186.1,Standard,2025-09-12
M2080,Avery,Alvarez,58,Tainan,70009,4,48.16,Basic,2026-02-17
M2081,Jordan,Lindqvist,47,Kaohsiung,80086,1,123.58,Enterprise,2025-10-25
M2082,Riley,Chen,28,Hsinchu,30009,2,139.52,Premium,2026-06-24
M2083,Casey,Nakamura,60,Taoyuan,32088,2,70.99,Standard,2026-01-03
M2084,Morgan,Espinoza,30,Taichung,40289,1,14.56,Basic,2025-09-21
M2085,Quinn,Park,56,Taichung,40478,2,288.62,Enterprise,2025-09-06
M2086,Hayden,Gomez,46,Tainan,70014,9,608.59,Premium,2026-07-11
M2087,Skyler,Rossi,18,Kaohsiung,80031,4,118.24,Standard,2025-10-09
M2088,Rowan,Ibrahim,36,Hsinchu,30057,2,32.02,Basic,2026-08-05
M2089,Emerson,Tran,64,Taoyuan,32076,4,746.34,Enterprise,2026-07-02
M2090,Finley,Kowalski,24,Taichung,40208,1,47.02,Premium,2026-05-11
M2091,Harper,Brennan,43,Taichung,40403,2,70.83,Standard,2026-01-17
M2092,Kendall,Moreau,29,Tainan,70023,2,25.28,Basic,2026-02-02
M2093,Logan,Duarte,32,Kaohsiung,80064,2,372.54,Enterprise,2026-02-19
M2094,Marley,Okafor,27,Hsinchu,30035,2,89.79,Premium,2025-09-25
M2095,Nico,Farah,28,Taoyuan,32098,1,30.11,Standard,2026-09-26
M2096,Parker,Quintero,23,Taichung,40264,1,15.79,Basic,2025-12-07
M2097,Reese,Haddad,55,Taichung,40443,1,135.03,Enterprise,2026-09-22
M2098,Sage,Singh,38,Tainan,70025,4,237.16,Premium,2026-09-14
M2099,Tatum,Jensen,27,Kaohsiung,80001,1,30.7,Standard,2026-04-08
M2100,Avery,Alvarez,60,Hsinchu,30090,1,13.6,Basic,2026-01-03
M2101,Jordan,Lindqvist,54,Taoyuan,32061,1,161.32,Enterprise,2026-03-23
M2102,Riley,Chen,33,Taichung,40234,1,82.19,Premium,2026-06-19
M2103,Casey,Nakamura,49,Taichung,40433,9,214.1,Standard,2026-04-25
M2104,Morgan,Espinoza,24,Tainan,70036,6,74.88,Basic,2026-07-21
M2105,Quinn,Park,41,Kaohsiung,80048,3,544.98,Enterprise,2026-09-22
M2106,Hayden,Gomez,42,Hsinchu,30096,2,151.5,Premium,2026-10-01
M2107,Skyler,Rossi,23,Taoyuan,32092,2,59.98,Standard,2026-05-01
M2108,Rowan,Ibrahim,46,Taichung,40265,2,28.23,Basic,2026-09-16
M2109,Emerson,Tran,60,Taichung,40483,4,661.33,Enterprise,2025-10-03
M2110,Finley,Kowalski,48,Tainan,70005,3,138.97,Premium,2026-05-04
M2111,Harper,Brennan,46,Kaohsiung,80023,3,109.85,Standard,2025-09-15
M2112,Kendall,Moreau,40,Hsinchu,30029,1,13.87,Basic,2026-09-02
M2113,Logan,Duarte,31,Taoyuan,32077,2,209.28,Enterprise,2026-02-01
M2114,Marley,Okafor,52,Taichung,40248,9,690.85,Premium,2026-01-24
M2115,Nico,Farah,38,Taichung,40490,1,25.55,Standard,2026-06-14
M2116,Parker,Quintero,41,Tainan,70080,1,12.09,Basic,2026-02-17
M2117,Reese,Haddad,46,Kaohsiung,80011,3,330.2,Enterprise,2026-01-30
M2118,Sage,Singh,43,Hsinchu,30089,9,510.87,Premium,2026-07-15
M2119,Tatum,Jensen,47,Taoyuan,32007,1,24.58,Standard,2026-04-23
M2120,Avery,Alvarez,27,Taichung,40240,3,38.49,Basic,2026-04-24
